publication,AnnotationType,precision,recall,f1,jacc
31924735,FractionationMethod,0.0,0.0,0.0,0.0
31924735,FractionIdentifier,1.0,1.0,1.0,1.0
31924735,FractionationFraction,1.0,1.0,1.0,1.0
31924735,FragmentationMethod,0.0,0.0,0.0,0.0
31924735,FragmentMassTolerance,0.0,0.0,0.0,0.0
31924735,GeneticModification,1.0,1.0,1.0,1.0
31924735,Genotype,1.0,1.0,1.0,1.0
31924735,GradientTime,1.0,1.0,1.0,1.0
31924735,GrowthRate,1.0,1.0,1.0,1.0
31924735,Instrument,0.0,0.0,0.0,0.0
31924735,IonizationType,1.0,1.0,1.0,1.0
31924735,Label,0.0,0.0,0.0,0.0
31924735,MaterialType,0.0,0.0,0.0,0.0
31924735,Modification,0.0,0.0,0.0,0.0
31924735,MS2MassAnalyzer,1.0,1.0,1.0,1.0
31924735,NumberOfMissedCleavages,1.0,1.0,1.0,1.0
31924735,NumberOfFractions,1.0,1.0,1.0,1.0
31924735,NumberOfTechnicalReplicates,1.0,1.0,1.0,1.0
31924735,NumberOfSamples,1.0,1.0,1.0,1.0
31924735,NumberOfBiologicalReplicates,1.0,1.0,1.0,1.0
31924735,Organism,1.0,1.0,1.0,1.0
31924735,OrganismPart,0.0,0.0,0.0,0.0
31924735,OriginSiteDisease,1.0,1.0,1.0,1.0
31924735,PrecursorMassTolerance,0.0,0.0,0.0,0.0
31924735,PooledSample,1.0,1.0,1.0,1.0
31924735,ReductionReagent,1.0,1.0,1.0,1.0
31924735,SamplingTime,1.0,1.0,1.0,1.0
31924735,SampleTreatment,1.0,1.0,1.0,1.0
31924735,Separation,0.0,0.0,0.0,0.0
31924735,Sex,0.0,0.0,0.0,0.0
31924735,Specimen,1.0,1.0,1.0,1.0
31924735,SpikedCompound,1.0,1.0,1.0,1.0
31924735,Staining,1.0,1.0,1.0,1.0
31924735,Strain,1.0,1.0,1.0,1.0
31924735,SupplementaryFile,1.0,1.0,1.0,1.0
31924735,SyntheticPeptide,1.0,1.0,1.0,1.0
31924735,TumorCellularity,1.0,1.0,1.0,1.0
31924735,TumorGrade,1.0,1.0,1.0,1.0
31924735,TumorSize,1.0,1.0,1.0,1.0
31924735,TumorSite,1.0,1.0,1.0,1.0
31924735,TumorStage,1.0,1.0,1.0,1.0
31924735,Time,1.0,1.0,1.0,1.0
31924735,Temperature,1.0,1.0,1.0,1.0
31924735,Treatment,1.0,1.0,1.0,1.0
31924735,TechnologyType,1.0,1.0,1.0,1.0
31924735,OutOfScope,1.0,1.0,1.0,1.0
32785189,AcquisitionMethod,1.0,1.0,1.0,1.0
32785189,Age,1.0,1.0,1.0,1.0
32785189,AlkylationReagent,1.0,1.0,1.0,1.0
32785189,AnatomicSiteTumor,1.0,1.0,1.0,1.0
32785189,AncestryCategory,1.0,1.0,1.0,1.0
32785189,Bait,1.0,1.0,1.0,1.0
32785189,BMI,1.0,1.0,1.0,1.0
32785189,CellLine,0.0,0.0,0.0,0.0
32785189,CellPart,1.0,1.0,1.0,1.0
32785189,CellType,0.0,0.0,0.0,0.0
32785189,CleavageAgent,1.0,1.0,1.0,1.0
32785189,CollisionEnergy,1.0,1.0,1.0,1.0
32785189,Compound,0.0,0.0,0.0,0.0
32785189,ConcentrationOfCompound,1.0,1.0,1.0,1.0
32785189,Chromatography,1.0,1.0,1.0,1.0
32785189,Depletion,1.0,1.0,1.0,1.0
32785189,DevelopmentalStage,1.0,1.0,1.0,1.0
32785189,Disease,0.0,0.0,0.0,0.0
32785189,DiseaseTreatment,1.0,1.0,1.0,1.0
32785189,EnrichmentMethod,0.0,0.0,0.0,0.0
32785189,Experiment,1.0,1.0,1.0,1.0
32785189,FactorValue,1.0,1.0,1.0,1.0
32785189,FlowRateChromatogram,1.0,1.0,1.0,1.0
32785189,FractionationMethod,1.0,1.0,1.0,1.0
32785189,FractionIdentifier,0.25,0.5,0.3333333333333333,0.5
32785189,FractionationFraction,1.0,1.0,1.0,1.0
32785189,FragmentationMethod,1.0,1.0,1.0,1.0
32785189,FragmentMassTolerance,0.0,0.0,0.0,0.0
32785189,GeneticModification,1.0,1.0,1.0,1.0
32785189,Genotype,1.0,1.0,1.0,1.0
32785189,GradientTime,1.0,1.0,1.0,1.0
32785189,GrowthRate,1.0,1.0,1.0,1.0
32785189,Instrument,1.0,1.0,1.0,1.0
32785189,IonizationType,1.0,1.0,1.0,1.0
32785189,Label,0.0,0.0,0.0,0.0
32785189,MaterialType,1.0,1.0,1.0,1.0
32785189,Modification,0.25,0.5,0.3333333333333333,0.5
32785189,MS2MassAnalyzer,1.0,1.0,1.0,1.0
32785189,NumberOfMissedCleavages,1.0,1.0,1.0,1.0
32785189,NumberOfFractions,1.0,1.0,1.0,1.0
32785189,NumberOfTechnicalReplicates,1.0,1.0,1.0,1.0
32785189,NumberOfSamples,1.0,1.0,1.0,1.0
32785189,NumberOfBiologicalReplicates,1.0,1.0,1.0,1.0
32785189,Organism,0.0,0.0,0.0,0.0
32785189,OrganismPart,0.0,0.0,0.0,0.0
32785189,OriginSiteDisease,1.0,1.0,1.0,1.0
32785189,PrecursorMassTolerance,0.0,0.0,0.0,0.0
32785189,PooledSample,1.0,1.0,1.0,1.0
32785189,ReductionReagent,1.0,1.0,1.0,1.0
32785189,SamplingTime,1.0,1.0,1.0,1.0
32785189,SampleTreatment,1.0,1.0,1.0,1.0
32785189,Separation,1.0,1.0,1.0,1.0
32785189,Sex,1.0,1.0,1.0,1.0
32785189,Specimen,1.0,1.0,1.0,1.0
32785189,SpikedCompound,1.0,1.0,1.0,1.0
32785189,Staining,1.0,1.0,1.0,1.0
32785189,Strain,1.0,1.0,1.0,1.0
32785189,SupplementaryFile,1.0,1.0,1.0,1.0
32785189,SyntheticPeptide,1.0,1.0,1.0,1.0
32785189,TumorCellularity,1.0,1.0,1.0,1.0
32785189,TumorGrade,1.0,1.0,1.0,1.0
32785189,TumorSize,1.0,1.0,1.0,1.0
32785189,TumorSite,1.0,1.0,1.0,1.0
32785189,TumorStage,1.0,1.0,1.0,1.0
32785189,Time,1.0,1.0,1.0,1.0
32785189,Temperature,1.0,1.0,1.0,1.0
32785189,Treatment,1.0,1.0,1.0,1.0
32785189,TechnologyType,1.0,1.0,1.0,1.0
32785189,OutOfScope,1.0,1.0,1.0,1.0
34138841,AcquisitionMethod,1.0,1.0,1.0,1.0
34138841,Age,1.0,1.0,1.0,1.0
34138841,AlkylationReagent,0.0,0.0,0.0,0.0
34138841,AnatomicSiteTumor,1.0,1.0,1.0,1.0
34138841,AncestryCategory,1.0,1.0,1.0,1.0
34138841,Bait,1.0,1.0,1.0,1.0
34138841,BMI,1.0,1.0,1.0,1.0
34138841,CellLine,1.0,1.0,1.0,1.0
34138841,CellPart,1.0,1.0,1.0,1.0
34138841,CellType,0.0,0.0,0.0,0.0
34138841,CleavageAgent,0.5,0.25,0.3333333333333333,0.5
34138841,CollisionEnergy,0.0,0.0,0.0,0.0
34138841,Compound,1.0,1.0,1.0,1.0
34138841,ConcentrationOfCompound,1.0,1.0,1.0,1.0
34138841,Chromatography,1.0,1.0,1.0,1.0
34138841,Depletion,1.0,1.0,1.0,1.0
34138841,DevelopmentalStage,1.0,1.0,1.0,1.0
34138841,Disease,1.0,1.0,1.0,1.0
34138841,DiseaseTreatment,1.0,1.0,1.0,1.0
34138841,EnrichmentMethod,1.0,1.0,1.0,1.0
34138841,Experiment,1.0,1.0,1.0,1.0
34138841,FactorValue,1.0,1.0,1.0,1.0
34138841,FlowRateChromatogram,1.0,1.0,1.0,1.0
34138841,FractionationMethod,1.0,1.0,1.0,1.0
34138841,FractionIdentifier,0.5,0.21428571428571427,0.3,0.42857142857142855
34138841,FractionationFraction,1.0,1.0,1.0,1.0
34138841,FragmentationMethod,0.0,0.0,0.0,0.0
34138841,FragmentMassTolerance,0.0,0.0,0.0,0.0
34138841,GeneticModification,1.0,1.0,1.0,1.0
34138841,Genotype,1.0,1.0,1.0,1.0
34138841,GradientTime,1.0,1.0,1.0,1.0
34138841,GrowthRate,1.0,1.0,1.0,1.0
34138841,Instrument,0.0,0.0,0.0,0.0
34138841,IonizationType,1.0,1.0,1.0,1.0
34138841,Label,1.0,1.0,1.0,1.0
34138841,MaterialType,1.0,1.0,1.0,1.0
34138841,Modification,0.07142857142857142,0.5,0.125,0.14285714285714285
34138841,MS2MassAnalyzer,1.0,1.0,1.0,1.0
34138841,NumberOfMissedCleavages,1.0,1.0,1.0,1.0
34138841,NumberOfFractions,1.0,1.0,1.0,1.0
34138841,NumberOfTechnicalReplicates,1.0,1.0,1.0,1.0
34138841,NumberOfSamples,1.0,1.0,1.0,1.0
34138841,NumberOfBiologicalReplicates,1.0,1.0,1.0,1.0
34138841,Organism,0.0,0.0,0.0,0.0
34138841,OrganismPart,0.0,0.0,0.0,0.0
34138841,OriginSiteDisease,1.0,1.0,1.0,1.0
34138841,PrecursorMassTolerance,0.0,0.0,0.0,0.0
34138841,PooledSample,1.0,1.0,1.0,1.0
34138841,ReductionReagent,0.0,0.0,0.0,0.0
34138841,SamplingTime,1.0,1.0,1.0,1.0
34138841,SampleTreatment,1.0,1.0,1.0,1.0
34138841,Separation,1.0,1.0,1.0,1.0
34138841,Sex,1.0,1.0,1.0,1.0
34138841,Specimen,1.0,1.0,1.0,1.0
34138841,SpikedCompound,1.0,1.0,1.0,1.0
34138841,Staining,1.0,1.0,1.0,1.0
34138841,Strain,0.0,0.0,0.0,0.0
34138841,SupplementaryFile,1.0,1.0,1.0,1.0
34138841,SyntheticPeptide,1.0,1.0,1.0,1.0
34138841,TumorCellularity,1.0,1.0,1.0,1.0
34138841,TumorGrade,1.0,1.0,1.0,1.0
34138841,TumorSize,1.0,1.0,1.0,1.0
34138841,TumorSite,1.0,1.0,1.0,1.0
34138841,TumorStage,1.0,1.0,1.0,1.0
34138841,Time,1.0,1.0,1.0,1.0
34138841,Temperature,1.0,1.0,1.0,1.0
34138841,Treatment,1.0,1.0,1.0,1.0
34138841,TechnologyType,1.0,1.0,1.0,1.0
34138841,OutOfScope,1.0,1.0,1.0,1.0
32645325,AcquisitionMethod,1.0,1.0,1.0,1.0
32645325,Age,1.0,1.0,1.0,1.0
32645325,AlkylationReagent,1.0,1.0,1.0,1.0
32645325,AnatomicSiteTumor,1.0,1.0,1.0,1.0
32645325,AncestryCategory,1.0,1.0,1.0,1.0
32645325,Bait,1.0,1.0,1.0,1.0
32645325,BMI,1.0,1.0,1.0,1.0
32645325,CellLine,0.0,0.0,0.0,0.0
32645325,CellPart,1.0,1.0,1.0,1.0
32645325,CellType,0.0,0.0,0.0,0.0
32645325,CleavageAgent,1.0,1.0,1.0,1.0
32645325,CollisionEnergy,0.0,0.0,0.0,0.0
32645325,Compound,1.0,1.0,1.0,1.0
32645325,ConcentrationOfCompound,1.0,1.0,1.0,1.0
32645325,Chromatography,1.0,1.0,1.0,1.0
32645325,Depletion,1.0,1.0,1.0,1.0
32645325,DevelopmentalStage,1.0,1.0,1.0,1.0
32645325,Disease,0.25,0.5,0.3333333333333333,0.5
32645325,DiseaseTreatment,1.0,1.0,1.0,1.0
32645325,EnrichmentMethod,0.0,0.0,0.0,0.0
32645325,Experiment,1.0,1.0,1.0,1.0
32645325,FactorValue,1.0,1.0,1.0,1.0
32645325,FlowRateChromatogram,1.0,1.0,1.0,1.0
